Element	English	Esperanto
Erbium	Erbium is used in photographic filters to absorb infrared light.<br><br>Erbium oxide gives a pink color and has been used as a colorant in glasses and porcelain enamel glazes.<br><br>It is also used in nuclear technology in neutron-absorbing control rods.<br><br>Erbium is used in alloys especially with vanadium to decrease the hardness of metals.	Erbio estas uzata en fotografiaj filtroj por absorbi infraruĝan lumon.<br><br>Erbio oksido donas rozkoloran koloron kaj estis uzata kiel koloranto en glasoj kaj porcelanaj enamela glazuroj.<br><br>Ĝi ankaŭ estas uzata en nuklea teknologio en neŭtronabsorbantaj kontrolstangoj.<br><br>Erbio estas uzata en alojoj precipe kun vanadio por malaltigi la hárdecon de metaloj.
Thulium	Thulium is used to dope yttrium aluminum garnets used in lasers.<br><br>It has also been used in high-temperature superconductors similarly to yttrium.<br><br>Thulium has use in ferrites, ceramic magnetic materials that are used in microwave equipment.<br><br>Thulium is used in euro banknotes for its blue fluorescence under UV light to defeat counterfeiters.	Tulio estas uzata por dopi ittriajn aluminiajn garnetojn uzatajn en lazeroj.<br><br>Ĝi ankaŭ estis uzata en alttemperaturaj superkonduktiloj simile al itrio.<br><br>Tulio havas uzon en feritoj, ceramikaj magnetaj materialoj kiuj estas uzataj en mikrononda ekipaĵo.<br><br>Tulio estas uzata en eŭraj bankbiletoj pro ĝia blua fluorescado sub UV-lumo por venki falsigantojn.
Ytterbium	Ytterbium fiber laser amplifiers are used in marking and engraving.<br><br>Ytterbium compounds are also used as catalysts in the organic chemical industry.<br><br>Ytterbium can be used as a dopant to help improve the grain refinement, strength, and other mechanical properties of stainless steel.	Iterbio-fibraj lazeraj amplifikantoj estas uzataj en markado kaj gravado.<br><br>Iterbaj kunmetaĵoj ankaŭ estas uzataj kiel katalizantoj en la organkemia industrio.<br><br>Iterbio povas esti uzata kiel dopanto por helpi plibonigi la grañrafinedon, forton, kaj aliajn mekanikajn ecojn de nerostuma ŝtalo.
Lutetium	Lutetium oxide is used to make catalysts for cracking hydrocarbons in the petrochemical industry.<br><br>Lutetium aluminum garnet has been proposed for use as a lens material in high refractive index immersion lithography.<br><br>Lutetium is used as a phosphor in LED light bulbs.	Luceo oksido estas uzata por fari katalizantojn por kraki hidrokarbonoj en la petroĥemia industrio.<br><br>Luceo aluminia granato estis proponita por uzo kiel lensmaterialo en altrefraktindeksa immers-litografio.<br><br>Luceo estas uzata kiel fosforo en LED lampoj.
Hafnium	Hafnium oxide-based compounds are being introduced into silicon-based chips to produce smaller, more energy efficient and performance packed processors.<br><br>Most of the hafnium produced is used in the production of control rods for nuclear reactors.<br><br>Hafnium is also used in photographic flash bulbs, light bulb filaments, and in electronic equipment as cathodes and capacitors.	Hafnioksido-bazitaj kunmetaĵoj estas enkondukitaj en silici-bazitaj blatoj por produkti pli malgrandajn, pli energioefikiajn kaj rendimento-pakitajn procesojn.<br><br>La plej multa hafnio produktita estas uzata en la produktado de kontrolstangoj por nukleaj reaktoroj.<br><br>Hafnio ankaŭ estas uzata en fotografiaj bliksaj lampoj, lampfilamenter, kaj en elektronika ekipaĵo kiel katodoj kaj kondensatoroj.
Tantalum	Tantalum is used in the electronics industry for capacitors and high power resistors.<br><br>The high melting point and oxidation resistance lead to the use of the metal in the production of vacuum furnace parts.<br><br>Tantalum oxide is used to make special glass with high index of refraction for camera lenses.	Tantalo estas uzata en la elektronika industrio por kondensatoroj kaj altpotencaj rezistoroj.<br><br>La alta frostempera-punkto kaj oksida rezisteco kondukis al la uzo de la metalo en la produktado de vakuumforna partoj.<br><br>Tantalo oksido estas uzata por fari specialan vitron kun alta rifrakta indekso por fotila lensoj.
Tungsten	Tungsten and its alloys are widely used for filaments in electric bulbs and electronic tubes.<br><br>Tungsten carbide is of great importance to the metal-working, mining, and petroleum industries.<br><br>Tungsten oxides are used in ceramic glazes and calcium/magnesium tungstates are used widely in fluorescent lighting.	Volframo kaj ĝiaj alojoj estas vaste uzataj por filamenter en elektraj ampuloj kaj elektronaj tuboj.<br><br>Volframa karbido estas de granda graveco al la metalworkada, mina kaj nafta industrioj.<br><br>Wolframa oksidoj estas uzataj en ceramikaj glazuroj kaj kalciaj/magnezaj volframatoj estas vaste uzataj en fluoreskaj lumigado.
Rhenium	Rhenium is widely used as filaments for mass spectrographs and ion gauges.<br><br>It is also used with platinum as catalysts in the production of lead-free, high-octane gasoline.<br><br>Nickel-based superalloys of rhenium are used in the combustion chambers, turbine blades, and exhaust nozzles of jet engines.	Renio estas vaste uzata kiel filamenter por masopektrografoj kaj jonoj manometroj.<br><br>Ĝi ankaŭ estas uzata kun platino kiel katalizantoj en la produktado de plumb-libera, alt-oktana benzino.<br><br>Nikel-bazitaj superalojoj de renio estas uzataj en la brulĉambroj, turbinaj klingoj kaj ekshalacaj injekciloj de reaktivaj motoroj.
Osmium	Osmium is used alloyed with other metals in the platinum group to produce very hard alloys.<br><br>Osmium alloys are used in the tips of fountain pens, instrument pivots, and electrical contacts<br><br>Osmium tetroxide has been used in fingerprint detection and in staining fatty tissue for optical and electron microscopy.	Osmio estas uzata legigita kun aliaj metaloj en la platina grupo por produkti tre hardajn alojojn.<br><br>Osmio alojoj estas uzataj en la pintoj de plumaj peninskribistoj, instrumentaj ĉarniroj kaj elektraj kontaktoj.<br><br>Osmia tetraoksido estis uzata en fingrospura detekctado kaj en tinktura-grasa histo por optika kaj elektronmikroskopío.
Iridium	Iridium is used in making crucibles and other equipment that is used at high temperatures.<br><br>Iridium is also used as a hardening agent in platinum alloys.<br><br>Its resistance to arc erosion makes iridium alloys ideal for electrical contacts for spark plugs.<br><br>Radioactive isotopes of iridium are used in radiation therapy for the treatment of cancer.	Iridio estas uzata en farado de tigletoj kaj alia ekipaĵo kiu estas uzata ĉe altaj temperaturoj.<br><br>Iridio ankaŭ estas uzata kiel harda agento en platinaj alojoj.<br><br>Ĝia rezisteco al arkoerodo igas iridiajn alojojn idealaj por elektraj kontaktoj por fajroplugoj.<br><br>Radioaktivaj izotopoj de iridio estas uzataj en radioterapio por la traktado de kancero.
Platinum	The most common use of platinum is as a catalyst in chemical reactions.<br><br>Platinum is used in jewelry, decoration and dental work.<br><br>Platinum-cobalt, an alloy of roughly three parts platinum and one part cobalt, is used to make relatively strong permanent magnets.<br><br>Platinum-based anodes are used in ships, pipelines, and steel piers.	La plej komuna uzo de platino estas kiel katalizanto en kemiaj reagoj.<br><br>Platino estas uzata en juvelaĵoj, dekoracio kaj dentlaboro.<br><br>Platino-kobalto, alojo de proksimume tri partoj platino kaj unu parto kobalto, estas uzata por fari relative fortajn permanentajn magnetojn.<br><br>Platino-bazitaj anodoj estas uzataj en ŝipoj, duktoj kaj ŝtalaj kegoj.
Gold	Gold is used in coinage and is a standard for monetary systems in many countries.<br><br>It is also extensively used for jewelry, decoration, dental work, and for plating.<br><br>Gold is used widely in microelectronic circuits to ensure reliable, corrosion-resistant and static-free performance.<br><br>Gold leaf, flake or dust is used in some gourmet foods as decorative ingredient.	Oro estas uzata en moneroj kaj estas normo por monetaj sistemoj en multaj landoj.<br><br>Ĝi ankaŭ estas vaste uzata por juvelaĵoj, dekoracio, dentlaboro, kaj por pladado.<br><br>Oro estas vaste uzata en mikroelektronaj cirkvitoj por certigi fidindan, korozio-rezistencan kaj statik-liberan rendimenton.<br><br>Ora folio, floko aŭ polvo estas uzataj en kelkaj gurmetaj manĝaĵoj kiel dekoracia ingredienco.
Mercury	Mercury is used in barometers and manometers because of its high density.<br><br>Gaseous mercury is used in mercury-vapor lamps and some 'neon sign' type advertising signs and fluorescent lamps.<br><br>Mercury is also found in liquid mirror telescopes.<br><br>Gaseous mercury is also found in some electron tubes, including ignitrons, thyratrons, and mercury arc rectifiers.	Hidrargo estas uzata en barometroj kaj manometroj pro ĝia alta denseco.<br><br>Gaseca hidrargo estas uzata en merkuraj vaporlampoj kaj kelkaj 'neon-signo'-tipaj reklamaj signoj kaj fluoreskaj lampoj.<br><br>Hidrargo ankaŭ troviĝas en likvidaj spegultele skopoj.<br><br>Gaseca hidrargo ankaŭ troviĝas en kelkaj elektronaj tuboj, inkluzive ignitronoj, tiratronoj kaj merkuraj arkorektiloj.
Thallium	Thallium selenide has been used in a bolometer for infrared detection.<br><br>Thallium is also used in gamma radiation detection equipment.<br><br>Thallium oxide has been used to produce glasses with a high index of refraction, and is used in the manufacture of photo cells.<br><br>Some of the electrodes in dissolved oxygen analyzers contain thallium.	Talia selenido estis uzata en bolometro por infraruĝa detekctado.<br><br>Talio ankaŭ estas uzata en gammaradia detektada ekipaĵo.<br><br>Talia oksido estis uzata por produkti glasojn kun alta rifrakta indekso, kaj estas uzata en la fabrikado de foto-ĉeloj.<br><br>Kelkaj el la elektrodoj en dissolventaj oksigeno-analiziloj enhavas talion.
Lead	Large quantities of lead, both as the metal and as the dioxide, are used in storage batteries.<br><br>Lead is used as electrodes in the process of electrolysis.<br><br>It is added to brass to reduce machine tool wear.<br><br>Lead, in either pure form or alloyed with tin, or antimony is the traditional material for bullets and shot in firearms use.	Grandaj kvantoj de plumbo, ambaŭ kiel la metalo kaj kiel la dioksido, estas uzataj en stokbaterioj.<br><br>Plumbo estas uzata kiel elektrodoj en la procezo de elektrolizo.<br><br>Ĝi estas aldonita al latuno por redukti maŝinila uzadon.<br><br>Plumbo, aŭ en pura formo aŭ legigita kun stano, aŭ antimono estas la tradicia materialo por pilkoj kaj ŝrapneloj en pafil-uzo.
Bismuth	Bismuth is used in producing malleable irons and is used as a catalyst for making acrylic fibers.<br><br>Bismuth oxychloride is used in cosmetics, as a pigment in paint for eye shadows, hair sprays and nail polishes.<br><br>It has also been used as a replacement for lead in shot, bullets and less-lethal riot gun ammunition.	Bismuto estas uzata en produktado de mallaj feroj kaj estas uzata kiel katalizanto por fari akrilajn fibrojn.<br><br>Bismuta oksiklorido estas uzata en kosmetikaĵoj, kiel pigmento en farbo por okulsombraĵoj, harsprayoj kaj ungofarboj.<br><br>Ĝi ankaŭ estis uzata kiel anstataŭaĵo por plumbo en ŝrapneloj, pilkoj kaj malpli-mortigaj tumultaj pafilaj municianimo.
Polonium	Polonium is used to eliminate static electricity produced during processes such as rolling paper, wire and sheet metal.<br><br>Polonium can be mixed or alloyed with beryllium to provide a source of neutrons.<br><br>It is also used in anti-static brushes to eliminate dust on photographic film.	Polonio estas uzata por elimini statikan elektrikon produktitan dum procezoj kiel rulado de papero, drato kaj folioŝtalo.<br><br>Polonio povas esti miksita aŭ legigita kun berilio por provizi fonton de neŭtronoj.<br><br>Ĝi ankaŭ estas uzata en kontraŭ-statikaj brosoj por elimini polvoron sur fotografia filmo.
Astatine	The newly formed astatine-211 is important in nuclear medicine.<br><br>Once produced, astatine must be used quickly, as it decays with a half-life of 7.2 hours.<br><br>Astatine-211 can be used for targeted alpha particle radiotherapy, since it decays either via emission of an alpha particle.	La ĵus formita astato-211 estas grava en nuklea medicino.<br><br>Post produktado, astato devas esti uzata rapide, ĉar ĝi putriĝas kun duonvivo de 7,2 horoj.<br><br>Astato-211 povas esti uzata por celita alfa-partikla radioterapio, ĉar ĝi putriĝas aŭ per emisio de alfa-partiklo.
Radon	Radon is used in hydrologic research that studies the interaction between ground water and streams.<br><br>Radon has been produced commercially for use in radiation therapy.<br><br>Radon has been used in implantable seeds, made of gold or glass, primarily used to treat cancers.	Radono estas uzata en hidrologiaj esploroj kiuj studas la interagon inter grundakvo kaj riveroj.<br><br>Radono estis produktita komerce por uzo en radioterapio.<br><br>Radono estis uzata en implanteblaj semoj, faritaj el oro aŭ vitro, uzataj ĉefe por trakti kancerojn.
Francium	Due to its instability and rarity, there are no commercial applications for francium.<br><br>It has been used for research purposes in the fields of biology and of atomic structure.<br><br>Its use as a potential diagnostic aid for various cancers has also been explored, but this application has been deemed impractical.	Pro ĝia malstabileco kaj malofteco, ne estas komercaj aplikoj por francio.<br><br>Ĝi estis uzata por esploraj celoj en la kampoj de biologio kaj atomstrukturo.<br><br>Ĝia uzo kiel potenciala diagnostika helpo por diversaj kanceroj ankaŭ estis esplorita, sed tiu apliko estis konsiderata neefika.
Radium	Radium was formerly used in self-luminous paints for watches, nuclear panels, aircraft switches, clocks, and instrument dials.<br><br>Radium chloride was used in medicine to produce radon gas which in turn was used as a cancer treatment.<br><br>The isotope <sup>223</sup>Ra is currently under investigation for use in medicine as a cancer treatment of bone metastasis.	Radiumo estis antaŭe uzata en mem-lumaj farboj por horloĝoj, nukleaj paneloj, aviadilaj ŝaltiloj, horloĝoj kaj instrumentaj ekranoj.<br><br>Radiumklorido estis uzata en medicino por produkti radonan gason kiu siavice estis uzata kiel kancera traktado.<br><br>La izotopo <sup>223</sup>Ra estas nun sub esploro por uzo en medicino kiel kancera traktado de osta metastazo.
