Element	English	Malay
Thulium	Thulium is used to dope yttrium aluminum garnets used in lasers.<br><br>It has also been used in high-temperature superconductors similarly to yttrium.<br><br>Thulium has use in ferrites, ceramic magnetic materials that are used in microwave equipment.<br><br>Thulium is used in euro banknotes for its blue fluorescence under UV light to defeat counterfeiters.	Thulium digunakan untuk mendop garnet yttrium aluminium yang digunakan dalam laser.<br><br>Ia juga telah digunakan dalam superkonduktor suhu tinggi seperti yttrium.<br><br>Thulium mempunyai kegunaan dalam ferit, bahan magnet seramik yang digunakan dalam peralatan gelombang mikro.<br><br>Thulium digunakan dalam wang kertas euro untuk fluoresensi birunya di bawah cahaya UV untuk mengalahkan pemalsu.
Ytterbium	Ytterbium fiber laser amplifiers are used in marking and engraving.<br><br>Ytterbium compounds are also used as catalysts in the organic chemical industry.<br><br>Ytterbium can be used as a dopant to help improve the grain refinement, strength, and other mechanical properties of stainless steel.	Penguat laser gentian ytterbium digunakan dalam penandaan dan pengukiran.<br><br>Sebatian ytterbium juga digunakan sebagai pemangkin dalam industri kimia organik.<br><br>Ytterbium boleh digunakan sebagai pengedop untuk membantu meningkatkan pemurnian bijian, kekuatan dan sifat mekanikal lain keluli tahan karat.
Lutetium	Lutetium oxide is used to make catalysts for cracking hydrocarbons in the petrochemical industry.<br><br>Lutetium aluminum garnet has been proposed for use as a lens material in high refractive index immersion lithography.<br><br>Lutetium is used as a phosphor in LED light bulbs.	Lutetium oksida digunakan untuk membuat pemangkin untuk retak hidrokarbon dalam industri petrokimia.<br><br>Garnet aluminium lutetium telah dicadangkan untuk digunakan sebagai bahan kanta dalam litografi rendam indeks biasan tinggi.<br><br>Lutetium digunakan sebagai fosfor dalam mentol lampu LED.
Hafnium	Hafnium oxide-based compounds are being introduced into silicon-based chips to produce smaller, more energy efficient and performance packed processors.<br><br>Most of the hafnium produced is used in the production of control rods for nuclear reactors.<br><br>Hafnium is also used in photographic flash bulbs, light bulb filaments, and in electronic equipment as cathodes and capacitors.	Sebatian berasaskan hafnium oksida sedang diperkenalkan ke dalam cip berasaskan silikon untuk menghasilkan pemproses yang lebih kecil, lebih efisien tenaga dan berprestasi tinggi.<br><br>Kebanyakan hafnium yang dihasilkan digunakan dalam pengeluaran batang kawalan untuk reaktor nuklear.<br><br>Hafnium juga digunakan dalam mentol kilat fotografi, filamen mentol lampu dan dalam peralatan elektronik sebagai katod dan kapasitor.
Tantalum	Tantalum is used in the electronics industry for capacitors and high power resistors.<br><br>The high melting point and oxidation resistance lead to the use of the metal in the production of vacuum furnace parts.<br><br>Tantalum oxide is used to make special glass with high index of refraction for camera lenses.	Tantalum digunakan dalam industri elektronik untuk kapasitor dan perintang kuasa tinggi.<br><br>Titik lebur yang tinggi dan rintangan pengoksidaan membawa kepada penggunaan logam dalam pengeluaran bahagian relau vakum.<br><br>Tantalum oksida digunakan untuk membuat kaca khas dengan indeks biasan tinggi untuk kanta kamera.
Tungsten	Tungsten and its alloys are widely used for filaments in electric bulbs and electronic tubes.<br><br>Tungsten carbide is of great importance to the metal-working, mining, and petroleum industries.<br><br>Tungsten oxides are used in ceramic glazes and calcium/magnesium tungstates are used widely in fluorescent lighting.	Tungsten dan aloinya digunakan secara meluas untuk filamen dalam mentol elektrik dan tiub elektronik.<br><br>Tungsten karbida sangat penting bagi industri pemesinan logam, perlombongan dan petroleum.<br><br>Tungsten oksida digunakan dalam glasir seramik dan tungstat kalsium/magnesium digunakan secara meluas dalam pencahayaan pendaflour.
Rhenium	Rhenium is widely used as filaments for mass spectrographs and ion gauges.<br><br>It is also used with platinum as catalysts in the production of lead-free, high-octane gasoline.<br><br>Nickel-based superalloys of rhenium are used in the combustion chambers, turbine blades, and exhaust nozzles of jet engines.	Rhenium digunakan secara meluas sebagai filamen untuk spektrograf jisim dan tolok ion.<br><br>Ia juga digunakan dengan platinum sebagai pemangkin dalam pengeluaran gasolin bebas plumbum, oktan tinggi.<br><br>Superaloi berasaskan nikel dari rhenium digunakan dalam kebuk pembakaran, bilah turbin dan muncung ekzos enjin jet.
Osmium	Osmium is used alloyed with other metals in the platinum group to produce very hard alloys.<br><br>Osmium alloys are used in the tips of fountain pens, instrument pivots, and electrical contacts<br><br>Osmium tetroxide has been used in fingerprint detection and in staining fatty tissue for optical and electron microscopy.	Osmium digunakan dengan aloi bersama logam lain dalam kumpulan platinum untuk menghasilkan aloi yang sangat keras.<br><br>Aloi osmium digunakan dalam hujung pena air terjun, pangsi instrumen dan kenalan elektrik.<br><br>Osmium tetroksida telah digunakan dalam pengesanan cap jari dan dalam pewarnaan tisu berlemak untuk mikroskopi optik dan elektron.
Iridium	Iridium is used in making crucibles and other equipment that is used at high temperatures.<br><br>Iridium is also used as a hardening agent in platinum alloys.<br><br>Its resistance to arc erosion makes iridium alloys ideal for electrical contacts for spark plugs.<br><br>Radioactive isotopes of iridium are used in radiation therapy for the treatment of cancer.	Iridium digunakan dalam pembuatan kusin dan peralatan lain yang digunakan pada suhu tinggi.<br><br>Iridium juga digunakan sebagai agen pengerasan dalam aloi platinum.<br><br>Rintangannya terhadap hakisan arka menjadikan aloi iridium ideal untuk kenalan elektrik untuk palam pencucuh.<br><br>Isotop radioaktif iridium digunakan dalam terapi radiasi untuk rawatan kanser.
Platinum	The most common use of platinum is as a catalyst in chemical reactions.<br><br>Platinum is used in jewelry, decoration and dental work.<br><br>Platinum-cobalt, an alloy of roughly three parts platinum and one part cobalt, is used to make relatively strong permanent magnets.<br><br>Platinum-based anodes are used in ships, pipelines, and steel piers.	Penggunaan platinum yang paling biasa adalah sebagai pemangkin dalam tindak balas kimia.<br><br>Platinum digunakan dalam perhiasan, hiasan dan kerja gigi.<br><br>Platinum-kobalt, aloi kira-kira tiga bahagian platinum dan satu bahagian kobalt, digunakan untuk membuat magnet kekal yang agak kuat.<br><br>Anode berasaskan platinum digunakan dalam kapal, saluran paip dan jambatan keluli.
Gold	Gold is used in coinage and is a standard for monetary systems in many countries.<br><br>It is also extensively used for jewelry, decoration, dental work, and for plating.<br><br>Gold is used widely in microelectronic circuits to ensure reliable, corrosion-resistant and static-free performance.<br><br>Gold leaf, flake or dust is used in some gourmet foods as decorative ingredient.	Emas digunakan dalam pengeluaran syiling dan merupakan standard untuk sistem kewangan di banyak negara.<br><br>Ia juga digunakan secara meluas untuk perhiasan, hiasan, kerja gigi dan untuk pelapisan.<br><br>Emas digunakan secara meluas dalam litar mikroelektronik untuk memastikan prestasi yang boleh dipercayai, tahan kakisan dan bebas statik.<br><br>Daun emas, serpih atau debu digunakan dalam beberapa makanan istimewa sebagai bahan hiasan.
Mercury	Mercury is used in barometers and manometers because of its high density.<br><br>Gaseous mercury is used in mercury-vapor lamps and some 'neon sign' type advertising signs and fluorescent lamps.<br><br>Mercury is also found in liquid mirror telescopes.<br><br>Gaseous mercury is also found in some electron tubes, including ignitrons, thyratrons, and mercury arc rectifiers.	Merkuri digunakan dalam barometer dan manometer kerana ketumpatannya yang tinggi.<br><br>Merkuri bergas digunakan dalam lampu wap merkuri dan beberapa tanda pengiklanan jenis 'tanda neon' dan lampu pendaflour.<br><br>Merkuri juga terdapat dalam teleskop cermin cecair.<br><br>Merkuri bergas juga terdapat dalam beberapa tiub elektron, termasuk ignitron, tiratron dan penerus arka merkuri.
Thallium	Thallium selenide has been used in a bolometer for infrared detection.<br><br>Thallium is also used in gamma radiation detection equipment.<br><br>Thallium oxide has been used to produce glasses with a high index of refraction, and is used in the manufacture of photo cells.<br><br>Some of the electrodes in dissolved oxygen analyzers contain thallium.	Talium selenida telah digunakan dalam bolometer untuk pengesanan inframerah.<br><br>Talium juga digunakan dalam peralatan pengesanan radiasi gamma.<br><br>Talium oksida telah digunakan untuk menghasilkan kaca dengan indeks biasan yang tinggi dan digunakan dalam pembuatan sel foto.<br><br>Beberapa elektrod dalam penganalisis oksigen terlarut mengandungi talium.
Lead	Large quantities of lead, both as the metal and as the dioxide, are used in storage batteries.<br><br>Lead is used as electrodes in the process of electrolysis.<br><br>It is added to brass to reduce machine tool wear.<br><br>Lead, in either pure form or alloyed with tin, or antimony is the traditional material for bullets and shot in firearms use.	Jumlah besar plumbum, baik sebagai logam mahupun sebagai dioksida, digunakan dalam bateri storan.<br><br>Plumbum digunakan sebagai elektrod dalam proses elektrolisis.<br><br>Ia ditambahkan ke dalam loyang untuk mengurangkan keausan peralatan mesin.<br><br>Plumbum, sama ada dalam bentuk tulen atau dialoikan dengan timah, atau antimon adalah bahan tradisional untuk peluru dan tembakan dalam penggunaan senjata api.
Bismuth	Bismuth is used in producing malleable irons and is used as a catalyst for making acrylic fibers.<br><br>Bismuth oxychloride is used in cosmetics, as a pigment in paint for eye shadows, hair sprays and nail polishes.<br><br>It has also been used as a replacement for lead in shot, bullets and less-lethal riot gun ammunition.	Bismut digunakan dalam menghasilkan besi boleh ditempa dan digunakan sebagai pemangkin untuk membuat gentian akrilik.<br><br>Bismut oksiklorida digunakan dalam kosmetik, sebagai pigmen dalam cat untuk bayang mata, semburan rambut dan pengilap kuku.<br><br>Ia juga telah digunakan sebagai pengganti plumbum dalam tembakan, peluru dan peluru senjata api rusuhan kurang mematikan.
Polonium	Polonium is used to eliminate static electricity produced during processes such as rolling paper, wire and sheet metal.<br><br>Polonium can be mixed or alloyed with beryllium to provide a source of neutrons.<br><br>It is also used in anti-static brushes to eliminate dust on photographic film.	Polonium digunakan untuk menghapuskan elektrik statik yang dihasilkan semasa proses seperti menggulung kertas, wayar dan lembaran logam.<br><br>Polonium boleh dicampur atau dialoikan dengan berylium untuk menyediakan sumber neutron.<br><br>Ia juga digunakan dalam berus anti-statik untuk menghapuskan habuk pada filem fotografi.
Astatine	The newly formed astatine-211 is important in nuclear medicine.<br><br>Once produced, astatine must be used quickly, as it decays with a half-life of 7.2 hours.<br><br>Astatine-211 can be used for targeted alpha particle radiotherapy, since it decays either via emission of an alpha particle.	Astatin-211 yang baru terbentuk adalah penting dalam perubatan nuklear.<br><br>Setelah dihasilkan, astatin mesti digunakan dengan cepat, kerana ia mereput dengan separuh hayat 7.2 jam.<br><br>Astatin-211 boleh digunakan untuk radioterapi zarah alfa bersasaran, kerana ia mereput melalui pelepasan zarah alfa.
Radon	Radon is used in hydrologic research that studies the interaction between ground water and streams.<br><br>Radon has been produced commercially for use in radiation therapy.<br><br>Radon has been used in implantable seeds, made of gold or glass, primarily used to treat cancers.	Radon digunakan dalam penyelidikan hidrologik yang mengkaji interaksi antara air bawah tanah dan anak sungai.<br><br>Radon telah dihasilkan secara komersial untuk digunakan dalam terapi radiasi.<br><br>Radon telah digunakan dalam benih boleh tanam, diperbuat daripada emas atau kaca, terutamanya digunakan untuk merawat kanser.
